,x,y
66,6594247.200686158,6522109.10353344
67,6466994.315299567,6558287.217935509
68,6339061.288813917,6591982.47957641
69,6210496.554727218,6623182.101464361
70,6081348.785861033,6651874.241457093
71,5951666.8766213115,6678048.006656241
72,5821499.924485911,6701693.45758661
73,5690897.2144105565,6722801.610532742
74,5559908.197063717,6741364.442506051
75,5428582.469887108,6757374.89441493
76,5296969.75864303,6770826.873588827
77,5165119.898836908,6781715.256057149
78,5033082.819584991,6790035.88768733
79,4900908.521379875,6795785.586824319
80,4768647.057658031,6798962.145369789
81,4636348.515958603,6799564.329607046
82,4504062.999851156,6797591.880741022
83,4371840.609538121,6793045.5150623955
84,4239731.422511899,6785926.9236492785
85,4107785.474825805,6776238.771818191
86,3976052.742138745,6763984.698175316
87,3844583.120782794,6749169.313295121
88,3713426.408855635,6731798.198023642
89,3582632.2872911706,6711877.901407816
90,3452250.3009495083,6689415.938262798
91,3322329.8401293056,6664420.7864176715
92,3192920.1220498886,6636901.883583427
93,3064070.1717447187,6606869.623794357
94,2935828.802944728,6574335.3533824235
95,2808244.591164402,6539311.3642428825
96,2681365.8663754403,6501810.891997091
97,2555240.7168943267,6461848.117713233
98,2429916.9550543176,6419438.15893183
99,2305442.061405496,6374597.048921798
100,2181863.1922591925,6327341.745272364
101,2059227.1531679402,6277690.122709142
102,1937580.3996354644,6225660.964083246
103,1816969.0464029454,6171273.9528274005
104,1697438.8113134366,6114549.668338107
105,1579034.9925606363,6055509.574486477
106,1461802.4562013187,5994176.013755313
107,1345785.626003552,5930572.200416861
108,1231028.4740896856,5864722.206301135
109,1117574.4943824774,5796650.957243126
110,1005466.687312956,5726384.221877363
111,894747.5443319682,5653948.599164214
112,785459.0305870082,5579371.513563289
113,677642.571071003,5502681.2001871765
114,571339.0339423573,5423906.695653683
115,466588.7136259789,5343077.82934713
116,363431.3185287937,5260225.207230916
117,261905.95308147365,5175380.204724405
118,162051.103730056,5088574.953633108
119,63904.62640448132,4999842.32702796
120,-32496.272125659416,4909215.932556785
121,-127115.04629580665,4816730.096864737
122,-219915.82264705902,4722419.848727879
123,-310863.41749617737,4626320.911093907
124,-399923.34900102584,4528469.685810952
125,-487061.8502422274,4428903.239792844
126,-572245.882076082,4327659.290991774
127,-655443.1457042885,4224776.19411115
128,-736622.0947527982,4120292.9259085357
129,-815751.9473133739,4014249.070464989
130,-892802.6983765436,3906684.804757834
131,-967745.1314615445,3797640.883577713
132,-1040550.828062168,3687158.6228587218
133,-1111192.1787220943,3575279.884127225
134,-1179642.3949162867,3462047.059482369
135,-1245875.5184853368,3347503.0548389023
136,-1309866.4316522048,3231691.274844361
137,-1371590.8663600897,3114655.6054369644
138,-1431025.413334555,2996440.396549837
139,-1488147.5310298263,2877090.4455128005
140,-1542935.5552730402,2756650.982374591
141,-1595368.7066289128,2635167.650548037
142,-1645427.0983811433,2512686.4893821357
143,-1693091.744213699,2389253.9170802
144,-1738344.56493924,2264916.7140649096
145,-1781168.3960267429,2139722.0039599757
146,-1821546.9940793181,2013717.235810178
147,-1859465.0428742748,1886950.1663835468
148,-1894908.1588296997,1759468.842843359
149,-1927862.8970915098,1631321.5831725807
150,-1958316.7565358118,1502556.958075628
151,-1986258.1843462382,1373223.773022257
152,-2011676.5802563892,1243371.0501345731
153,-2034562.301037631,1113048.0083934527
154,-2054906.6640651957,982304.045217419
155,-2072701.95027749,851188.7187800955
156,-2087941.4072657244,719751.7287269555
157,-2100619.252217649,588042.8961404209
158,-2110730.6740124174,456112.14491595863
159,-2118271.8351076157,324009.4825938167
160,-2123239.872291964,191784.9839724638
161,-2125632.898168,59488.77058956836
162,-2125450.0020841756,-72829.00918023467
163,-2122691.2503161314,-205118.19859390426
164,-2117357.686373239,-337328.65178312565
165,-2109451.330399392,-469410.2528759815
166,-2098975.178407704,-601312.935226568
167,-2085933.201195364,-732986.7004755936
168,-2070330.3424471577,-864381.6355456861
169,-2052172.5172014092,-995447.9335743617
170,-2031466.6095702457,-1126135.912860436
171,-2008220.4700803305,-1256396.0354419863
172,-1982442.9128322615,-1386178.9249616978
173,-1954143.7119799342,-1515435.3866151469
174,-1923333.5980267935,-1644116.4258018192
175,-1890024.2537698194,-1772173.2664882415
176,-1854228.3099527443,-1899557.368581818
177,-1815959.3403120567,-2026220.4479664615
178,-1775231.8564202525,-2152114.494612733
179,-1732061.302209937,-2277191.790473524
180,-1686464.0482416363,-2401404.926680289
181,-1638457.3852132978,-2524706.8230743203
182,-1588059.517411405,-2647050.7457936327
183,-1535289.5558999658,-2768390.324572204
184,-1480167.5114358575,-2888679.5696480693
185,-1422714.2864484927,-3007872.890679283
186,-1362951.6671667953,-3125925.11371795
187,-1300902.315483016,-3242791.4978801394
188,-1236589.7604693442,-3358427.7518855827
189,-1170038.389076048,-3472790.051882475
190,-1101273.4369607826,-3585835.0577431694
191,-1030320.9790784827,-3697519.9291857784
192,-957207.9195245701,-3807802.342454946
193,-881961.981260783,-3916640.5064639803
194,-804611.695811211,-4023993.1781262667
195,-725186.3923851204,-4129819.6780282175
196,-643716.1864431691,-4234079.906416304
197,-560231.9683656212,-4336734.358153442
198,-474765.3920136694,-4437744.137226102
199,-387348.8622608266,-4537070.972135392
200,-298015.52269595535,-4634677.230356552
201,-206799.24336127154,-4730525.932111024
202,-113734.60768282937,-4824580.764641671
203,-18856.89910704299,-4916806.096260796
204,77797.91217105422,-5007166.9896449
205,176193.1825837403,-5095629.214703542
206,276291.609503596,-5182159.262020061
207,378055.2453202208,-5266724.355403713
208,481445.5118537406,-5349292.464285257
209,586423.2150222094,-5429832.315845513
210,692948.5597568926,-5508313.406829733
211,800981.165323599,-5584706.0148152765
212,910480.0803166924,-5658981.209941581
213,1021403.7979654974,-5731110.866221735
214,1133710.272038154,-5801067.671990866
215,1247356.9340423439,-5868825.138380208
216,1362300.708111795,-5934357.611482412
217,1478498.027853573,-5997640.281508462
218,1595904.8526166563,-6058649.192040089
219,1714476.6837334796,-6117361.249087112
220,1834168.5828079386,-6173754.229522375
221,1954935.1886051889,-6227806.789422376
222,2076730.7327563956,-6279498.472875894
223,2199509.057628976,-6328809.719526123
224,2323223.634996823,-6375721.8714953605
225,2447827.58322789,-6420217.180697765
226,2573273.6841607955,-6462278.815120632
227,2699514.401907058,-6501890.8655423755
228,2826501.9010507967,-6539038.351582681
229,2954188.0645490373,-6573707.227226712
230,3082524.511145845,-6605884.385759284
231,3211462.614914055,-6635557.665156611
232,3340953.523557227,-6662715.852579714
233,3470948.176488192,-6687348.688422929
234,3601397.32305263,-6709446.870024703
235,3732251.542277462,-6729002.055487468
236,3863461.2613501768,-6746006.866695512
237,3994976.7733023153,-6760454.891756457
238,4126748.2566676578,-6772340.687593679
239,4258725.7950461935,-6781659.782130309
240,4390859.395797557,-6788408.675854464
241,4523099.009189476,-6792584.843123875
242,4655394.546428384,-6794186.7328233365
243,4787695.895942518,-6793213.768337418
244,4919952.948585386,-6789666.349214602
245,5052115.611929527,-6783545.849737539
246,5184133.831423579,-6774854.6189147765
247,5315957.608495827,-6763595.97934882
248,5447537.019671756,-6749774.225934153
